w1,w2,w3,w4,w5,w6
float,float,float,float,float,float
S,S,S,S,S,S
,,,,,
-6.55758353402e-08,-5.75547313023e-07,2.53714642115e-06,-2.75252987226e-06,1.0211987628e-06,2.95050495949e-06
4.17309659002e-08,-1.31324060675e-06,2.47701128166e-06,-1.35225468104e-06,-1.1405200555e-07,-7.29103251289e-07
-4.07528168366e-07,1.62497545092e-06,-9.73251292162e-07,-3.34644076791e-07,1.63356018313e-06,4.98112827835e-06
2.67973027289e-07,3.84645939197e-07,-9.84026939575e-07,4.11089129601e-07,1.41994876073e-06,1.78552318032e-06
4.82239489179e-08,1.63066464371e-07,-9.77396567123e-07,9.19493733611e-07,1.01814891582e-06,5.91469566615e-07
2.48643640698e-08,7.42759624549e-09,-1.14389291719e-06,1.68752379958e-06,-5.87067403131e-07,-6.58841332539e-07
-1.13190362995e-07,-3.90518189546e-07,-4.62244401216e-07,7.75168602628e-07,-9.83325739092e-07,-4.0590398067e-06
-1.10765622589e-06,3.34719105537e-06,-2.62339061307e-06,2.75901000072e-06,1.06610855998e-06,4.2945066001e-06
-1.77370855131e-07,8.77175893199e-07,-2.40869766997e-07,1.26044197198e-07,1.45036758629e-06,2.17905959952e-06
2.00688212122e-07,2.78579933327e-07,-1.39011465556e-06,1.06310635116e-06,1.31137386371e-06,5.80912653131e-07
1.41042775919e-07,1.58744812104e-07,-1.3304347441e-06,1.4787848827e-06,-2.52465354825e-07,-2.08956834423e-08
9.90746672836e-08,3.01851071642e-07,-2.18037894272e-06,2.0092812352e-06,-2.03512818999e-06,-1.33273590175e-06
-2.43631722451e-07,8.45634523905e-07,-2.67772560018e-06,2.06996861912e-06,-7.31911039516e-07,-4.61371277209e-06
-2.1593188647e-06,7.1860785242e-06,5.74409208639e-08,1.95698804159e-06,1.24436939726e-06,1.63434863485e-06
1.37529177372e-07,5.202981268e-07,-6.89910267759e-07,-1.51901973091e-06,1.21045666138e-06,7.34144611816e-07
1.81346627019e-07,3.34559292972e-07,-1.08292024526e-06,8.0135523759e-07,7.16878559793e-07,1.0854825626e-07
1.02849678693e-07,2.28462690875e-07,-1.14871690091e-06,1.29461809818e-06,-4.2330569988e-06,-3.34056514284e-07
-1.9148359474e-07,8.54892564281e-07,-3.80957073454e-06,3.68354674652e-06,-1.71097274098e-06,-1.13937307569e-06
-1.7239025535e-06,4.91932706198e-06,2.03025130709e-06,3.01370581648e-06,6.45689093316e-07,8.92958938676e-07
4.20542537541e-07,2.20180377821e-06,-2.8230791782e-07,8.87590876141e-07,9.41673083256e-07,4.99675386681e-07
1.29450105976e-07,7.29104225647e-07,-9.18135491923e-07,-8.64640866468e-07,8.33241992061e-07,1.75641456056e-07
1.59665963516e-07,-8.84302714471e-08,-3.4079444369e-07,4.54457493397e-07,-1.44218457119e-06,-5.54521302621e-09
2.18135950957e-07,4.20885734434e-08,-9.23836567253e-07,3.25999866802e-06,-2.4970238417e-06,-4.2943066244e-07
-4.22883599321e-07,2.27931210465e-06,-1.61458087018e-06,4.09221239083e-06,-3.29809972952e-07,-5.41947112759e-07
-6.71088359594e-06,1.66811445418e-06,3.37187120297e-07,2.13755454725e-06,6.80985450707e-07,4.13241058533e-07
-2.41479395868e-07,9.49714098169e-07,1.2059285394e-07,-7.78929220755e-10,6.10144586101e-07,8.32259310655e-08
3.27269190813e-07,-7.73735016669e-07,4.68487540008e-07,2.05203766756e-06,-1.48107432378e-06,3.95731547156e-08
-2.61677483872e-07,-1.40755784383e-06,1.40769975151e-06,3.71098217173e-06,-9.5672348207e-07,-2.05194309622e-07
-9.72782203476e-07,-4.31648663449e-07,4.10905824039e-08,2.60385646277e-06,4.21088401036e-07,9.39319353639e-08
-5.07518684328e-07,-1.69679897546e-06,6.5865927641e-07,2.69213521661e-06,1.20543755567e-07,1.22467463739e-07
-6.84657030105e-08,-3.53996011592e-06,1.68175798982e-06,2.84816321588e-06,-2.55061293859e-07,1.22536448809e-07
